  T        pwa93       esc96       nijm1       nijm2       nijm93  
289.000    -3.07849    -6.50328    -3.18856    -3.59403    -5.75978
290.000    -3.20446    -6.63051    -3.30255    -3.70826    -5.89050
291.000    -3.33030    -6.75747    -3.41626    -3.82221    -6.02097
292.000    -3.45600    -6.88416    -3.52971    -3.93588    -6.15120
293.000    -3.58159    -7.01060    -3.64290    -4.04928    -6.28118
294.000    -3.70705    -7.13676    -3.75582    -4.16240    -6.41091
295.000    -3.83238    -7.26267    -3.86848    -4.27525    -6.54039
296.000    -3.95760    -7.38831    -3.98088    -4.38783    -6.66963
297.000    -4.08269    -7.51370    -4.09301    -4.50014    -6.79863
298.000    -4.20767    -7.63883    -4.20489    -4.61218    -6.92739
299.000    -4.33254    -7.76370    -4.31652    -4.72396    -7.05591
300.000    -4.45729    -7.88832    -4.42788    -4.83547    -7.18419
301.000    -4.58193    -8.01268    -4.53900    -4.94671    -7.31222
302.000    -4.70646    -8.13679    -4.64986    -5.05770    -7.44003
303.000    -4.83089    -8.26065    -4.76047    -5.16842    -7.56759
304.000    -4.95521    -8.38426    -4.87083    -5.27888    -7.69493
305.000    -5.07942    -8.50763    -4.98094    -5.38909    -7.82202
306.000    -5.20354    -8.63074    -5.09080    -5.49903    -7.94889
307.000    -5.32755    -8.75361    -5.20042    -5.60872    -8.07552
308.000    -5.45146    -8.87624    -5.30980    -5.71816    -8.20193
309.000    -5.57528    -8.99862    -5.41893    -5.82734    -8.32810
310.000    -5.69901    -9.12076    -5.52782    -5.93627    -8.45404
311.000    -5.82264    -9.24266    -5.63647    -6.04495    -8.57976
312.000    -5.94618    -9.36432    -5.74488    -6.15338    -8.70525
313.000    -6.06963    -9.48575    -5.85305    -6.26156    -8.83052
314.000    -6.19299    -9.60693    -5.96099    -6.36950    -8.95556
315.000    -6.31627    -9.72788    -6.06869    -6.47719    -9.08038
316.000    -6.43946    -9.84860    -6.17616    -6.58463    -9.20498
317.000    -6.56257    -9.96908    -6.28340    -6.69183    -9.32935
318.000    -6.68560   -10.08933    -6.39040    -6.79879    -9.45350
319.000    -6.80855   -10.20935    -6.49717    -6.90551    -9.57744
320.000    -6.93143   -10.32915    -6.60372    -7.01199    -9.70115
321.000    -7.05422   -10.44871    -6.71003    -7.11823    -9.82465
322.000    -7.17695   -10.56804    -6.81612    -7.22423    -9.94793
323.000    -7.29960   -10.68715    -6.92199    -7.32999   -10.07100
324.000    -7.42218   -10.80603    -7.02763    -7.43552   -10.19385
325.000    -7.54469   -10.92469    -7.13305    -7.54082   -10.31649
326.000    -7.66714   -11.04313    -7.23824    -7.64588   -10.43891
327.000    -7.78952   -11.16134    -7.34322    -7.75071   -10.56112
328.000    -7.91183   -11.27933    -7.44797    -7.85531   -10.68313
329.000    -8.03408   -11.39711    -7.55251    -7.95968   -10.80492
330.000    -8.15627   -11.51466    -7.65683    -8.06383   -10.92650
331.000    -8.27841   -11.63200    -7.76093    -8.16774   -11.04787
332.000    -8.40048   -11.74912    -7.86482    -8.27143   -11.16904
333.000    -8.52250   -11.86603    -7.96849    -8.37489   -11.28999
334.000    -8.64446   -11.98272    -8.07195    -8.47813   -11.41075
335.000    -8.76637   -12.09920    -8.17520    -8.58114   -11.53129
336.000    -8.88823   -12.21547    -8.27823    -8.68393   -11.65164
337.000    -9.01004   -12.33152    -8.38106    -8.78650   -11.77178
338.000    -9.13180   -12.44737    -8.48368    -8.88885   -11.89171
339.000    -9.25352   -12.56300    -8.58609    -8.99098   -12.01145
340.000    -9.37519   -12.67843    -8.68829    -9.09290   -12.13098
341.000    -9.49681   -12.79365    -8.79029    -9.19459   -12.25031
342.000    -9.61840   -12.90866    -8.89209    -9.29607   -12.36945
343.000    -9.73994   -13.02347    -8.99368    -9.39733   -12.48839
344.000    -9.86145   -13.13807    -9.09506    -9.49838   -12.60712
345.000    -9.98291   -13.25248    -9.19625    -9.59922   -12.72566
346.000   -10.10434   -13.36667    -9.29723    -9.69984   -12.84401
347.000   -10.22574   -13.48067    -9.39802    -9.80025   -12.96216
348.000   -10.34710   -13.59447    -9.49861    -9.90045   -13.08011
349.000   -10.46843   -13.70806    -9.59899   -10.00044   -13.19787
350.000   -10.58973   -13.82146    -9.69919   -10.10022   -13.31544
